date,zone,category,priority,units_engaged
2025-08-26,Альфа,Втрата постачання,Низький,9
2025-08-13,Альфа,Втрата постачання,Високий,25
2025-08-30,Альфа,Втрата постачання,Критичний,32
2025-08-24,Дельта,Техногенна аварія,Критичний,13
2025-08-02,Гамма,Радіоелектронна боротьба,Середній,30
2025-08-07,Гамма,Повітряна загроза,Середній,10
2025-08-20,Омега,Наземний контакт,Високий,14
2025-08-29,Омега,Втрата постачання,Високий,17
2025-08-25,Дельта,Радіоелектронна боротьба,Високий,26
2025-08-13,Гамма,Радіоелектронна боротьба,Низький,20
2025-08-29,Альфа,Повітряна загроза,Критичний,22
2025-08-14,Бета,Радіоелектронна боротьба,Високий,5
2025-08-27,Гамма,Радіоелектронна боротьба,Середній,18
2025-08-01,Гамма,Наземний контакт,Низький,14
2025-08-17,Гамма,Наземний контакт,Низький,36
2025-08-03,Альфа,Радіоелектронна боротьба,Низький,23
2025-08-02,Гамма,Втрата постачання,Середній,26
2025-08-10,Дельта,Наземний контакт,Середній,30
2025-08-01,Гамма,Наземний контакт,Високий,40
2025-08-13,Дельта,Радіоелектронна боротьба,Низький,30
2025-08-09,Альфа,Радіоелектронна боротьба,Низький,34
2025-08-17,Альфа,Наземний контакт,Високий,2
2025-08-28,Гамма,Повітряна загроза,Низький,15
2025-08-25,Дельта,Радіоелектронна боротьба,Високий,17
2025-08-03,Бета,Повітряна загроза,Критичний,11
2025-08-10,Гамма,Техногенна аварія,Низький,18
2025-08-18,Гамма,Втрата постачання,Середній,29
2025-08-16,Бета,Наземний контакт,Низький,6
2025-08-22,Альфа,Повітряна загроза,Критичний,9
2025-08-08,Альфа,Втрата постачання,Критичний,20
2025-08-12,Альфа,Повітряна загроза,Низький,17
2025-08-16,Бета,Техногенна аварія,Низький,6
2025-08-21,Омега,Повітряна загроза,Високий,38
2025-08-11,Альфа,Техногенна аварія,Критичний,6
2025-08-30,Альфа,Радіоелектронна боротьба,Низький,33
2025-08-03,Омега,Повітряна загроза,Високий,39
2025-08-18,Дельта,Повітряна загроза,Високий,9
2025-08-28,Дельта,Повітряна загроза,Високий,4
2025-08-27,Дельта,Наземний контакт,Критичний,29
2025-08-06,Дельта,Техногенна аварія,Середній,2
2025-08-09,Альфа,Наземний контакт,Високий,6
2025-08-18,Дельта,Повітряна загроза,Низький,24
2025-08-18,Гамма,Повітряна загроза,Середній,23
2025-08-17,Альфа,Техногенна аварія,Низький,28
2025-08-10,Бета,Радіоелектронна боротьба,Середній,19
2025-08-24,Омега,Радіоелектронна боротьба,Середній,23
2025-08-26,Гамма,Втрата постачання,Високий,31
2025-08-14,Бета,Радіоелектронна боротьба,Середній,14
2025-08-20,Гамма,Втрата постачання,Критичний,8
2025-08-25,Дельта,Повітряна загроза,Низький,20
2025-08-23,Гамма,Радіоелектронна боротьба,Низький,36
2025-08-10,Альфа,Наземний контакт,Середній,28
2025-08-29,Бета,Повітряна загроза,Критичний,20
2025-08-22,Бета,Втрата постачання,Середній,33
2025-08-02,Бета,Наземний контакт,Критичний,36
2025-08-20,Омега,Втрата постачання,Середній,5
2025-08-04,Омега,Повітряна загроза,Низький,15
2025-08-02,Бета,Втрата постачання,Середній,23
2025-08-08,Альфа,Втрата постачання,Середній,2
2025-08-30,Гамма,Втрата постачання,Низький,8
2025-08-09,Альфа,Повітряна загроза,Високий,14
2025-08-29,Гамма,Втрата постачання,Критичний,21
2025-08-24,Дельта,Повітряна загроза,Низький,3
2025-08-20,Бета,Повітряна загроза,Низький,34
2025-08-20,Гамма,Повітряна загроза,Критичний,22
2025-08-28,Гамма,Втрата постачання,Середній,25
