date,zone,category,priority,units_engaged
2025-08-05,Бета,Повітряна загроза,Низький,10
2025-08-04,Омега,Радіоелектронна боротьба,Високий,7
2025-08-18,Альфа,Повітряна загроза,Середній,18
2025-08-21,Гамма,Техногенна аварія,Низький,24
2025-08-05,Бета,Повітряна загроза,Низький,20
2025-08-10,Дельта,Втрата постачання,Високий,34
2025-08-11,Бета,Радіоелектронна боротьба,Високий,16
2025-08-02,Гамма,Повітряна загроза,Низький,35
2025-08-12,Дельта,Втрата постачання,Високий,15
2025-08-10,Альфа,Втрата постачання,Високий,5
2025-08-13,Омега,Повітряна загроза,Середній,36
2025-08-17,Дельта,Втрата постачання,Низький,3
2025-08-09,Бета,Техногенна аварія,Низький,34
2025-08-20,Бета,Наземний контакт,Низький,6
2025-08-08,Бета,Радіоелектронна боротьба,Низький,4
2025-08-13,Бета,Втрата постачання,Високий,26
2025-08-05,Дельта,Радіоелектронна боротьба,Середній,5
2025-08-10,Гамма,Втрата постачання,Критичний,2
2025-08-04,Дельта,Наземний контакт,Середній,10
2025-08-06,Бета,Повітряна загроза,Низький,10
2025-08-05,Гамма,Наземний контакт,Критичний,32
2025-08-20,Гамма,Повітряна загроза,Критичний,36
2025-08-16,Гамма,Техногенна аварія,Критичний,2
2025-08-03,Бета,Радіоелектронна боротьба,Високий,36
2025-08-08,Гамма,Повітряна загроза,Високий,8
2025-08-08,Бета,Втрата постачання,Високий,26
2025-08-11,Дельта,Повітряна загроза,Високий,18
2025-08-13,Гамма,Повітряна загроза,Середній,14
2025-08-07,Дельта,Наземний контакт,Високий,28
2025-08-23,Гамма,Наземний контакт,Середній,34
2025-08-29,Альфа,Радіоелектронна боротьба,Низький,27
2025-08-15,Бета,Втрата постачання,Високий,3
2025-08-06,Гамма,Радіоелектронна боротьба,Високий,32
2025-08-30,Гамма,Втрата постачання,Середній,16
2025-08-16,Бета,Повітряна загроза,Низький,20
2025-08-04,Гамма,Наземний контакт,Критичний,11
2025-08-22,Омега,Наземний контакт,Низький,7
2025-08-04,Гамма,Втрата постачання,Високий,28
2025-08-10,Бета,Повітряна загроза,Низький,15
2025-08-27,Бета,Втрата постачання,Низький,19
2025-08-16,Бета,Втрата постачання,Критичний,31
2025-08-10,Дельта,Повітряна загроза,Низький,14
2025-08-15,Бета,Втрата постачання,Середній,26
2025-08-08,Дельта,Втрата постачання,Середній,24
2025-08-21,Гамма,Радіоелектронна боротьба,Низький,12
2025-08-01,Омега,Повітряна загроза,Високий,12
2025-08-30,Гамма,Радіоелектронна боротьба,Середній,11
2025-08-20,Гамма,Повітряна загроза,Високий,34
2025-08-04,Гамма,Втрата постачання,Високий,39
2025-08-23,Гамма,Повітряна загроза,Високий,38
2025-08-04,Альфа,Повітряна загроза,Середній,6
2025-08-29,Альфа,Повітряна загроза,Критичний,30
2025-08-09,Дельта,Повітряна загроза,Критичний,26
2025-08-01,Гамма,Повітряна загроза,Середній,6
2025-08-24,Бета,Повітряна загроза,Критичний,33
2025-08-10,Гамма,Наземний контакт,Високий,34
2025-08-30,Гамма,Втрата постачання,Низький,13
2025-08-15,Гамма,Техногенна аварія,Середній,4
2025-08-13,Бета,Повітряна загроза,Високий,27
2025-08-19,Омега,Радіоелектронна боротьба,Низький,17
2025-08-01,Дельта,Повітряна загроза,Низький,13
2025-08-07,Альфа,Втрата постачання,Низький,27
2025-08-08,Дельта,Техногенна аварія,Низький,16
2025-08-22,Альфа,Радіоелектронна боротьба,Середній,34
2025-08-17,Омега,Наземний контакт,Критичний,33
2025-08-25,Бета,Техногенна аварія,Низький,22
2025-08-16,Омега,Наземний контакт,Високий,28
2025-08-18,Омега,Втрата постачання,Високий,33
2025-08-26,Бета,Повітряна загроза,Критичний,33
2025-08-11,Дельта,Втрата постачання,Високий,24
2025-08-29,Дельта,Втрата постачання,Середній,19
2025-08-01,Бета,Втрата постачання,Високий,37
2025-08-02,Гамма,Повітряна загроза,Середній,17
2025-08-09,Дельта,Наземний контакт,Високий,27
2025-08-23,Омега,Радіоелектронна боротьба,Критичний,38
2025-08-07,Бета,Повітряна загроза,Низький,3
2025-08-14,Бета,Втрата постачання,Середній,11
2025-08-09,Бета,Техногенна аварія,Критичний,20
2025-08-19,Дельта,Втрата постачання,Критичний,33
2025-08-07,Дельта,Радіоелектронна боротьба,Високий,32
2025-08-05,Бета,Повітряна загроза,Низький,7
2025-08-16,Гамма,Втрата постачання,Високий,28
2025-08-08,Дельта,Повітряна загроза,Високий,12
2025-08-03,Гамма,Втрата постачання,Критичний,33
2025-08-13,Альфа,Повітряна загроза,Середній,5
2025-08-23,Гамма,Повітряна загроза,Високий,26
2025-08-06,Бета,Втрата постачання,Середній,33
2025-08-10,Гамма,Наземний контакт,Середній,33
2025-08-23,Альфа,Втрата постачання,Низький,26
2025-08-02,Дельта,Втрата постачання,Високий,34
