date,zone,category,priority,units_engaged
2025-08-24,Альфа,Повітряна загроза,Критичний,18
2025-08-21,Дельта,Втрата постачання,Низький,23
2025-08-26,Гамма,Втрата постачання,Середній,11
2025-08-06,Гамма,Повітряна загроза,Низький,34
2025-08-28,Гамма,Радіоелектронна боротьба,Високий,12
2025-08-07,Альфа,Втрата постачання,Високий,33
2025-08-14,Бета,Наземний контакт,Критичний,9
2025-08-11,Гамма,Техногенна аварія,Високий,20
2025-08-10,Гамма,Втрата постачання,Низький,6
2025-08-20,Дельта,Повітряна загроза,Низький,39
2025-08-16,Дельта,Повітряна загроза,Низький,16
2025-08-19,Альфа,Наземний контакт,Високий,30
2025-08-06,Альфа,Повітряна загроза,Критичний,18
2025-08-29,Бета,Втрата постачання,Низький,28
2025-08-19,Омега,Техногенна аварія,Високий,36
2025-08-14,Гамма,Радіоелектронна боротьба,Середній,30
2025-08-02,Бета,Наземний контакт,Високий,7
2025-08-26,Дельта,Техногенна аварія,Середній,36
2025-08-17,Гамма,Повітряна загроза,Високий,25
2025-08-07,Бета,Наземний контакт,Критичний,20
2025-08-12,Бета,Втрата постачання,Низький,11
2025-08-09,Бета,Наземний контакт,Критичний,8
2025-08-03,Гамма,Втрата постачання,Критичний,29
2025-08-07,Гамма,Радіоелектронна боротьба,Низький,37
2025-08-21,Бета,Втрата постачання,Низький,10
2025-08-23,Гамма,Повітряна загроза,Високий,35
2025-08-10,Гамма,Радіоелектронна боротьба,Середній,25
2025-08-15,Альфа,Наземний контакт,Низький,11
2025-08-18,Омега,Повітряна загроза,Середній,39
2025-08-21,Омега,Наземний контакт,Високий,40
2025-08-13,Омега,Наземний контакт,Середній,4
2025-08-03,Альфа,Радіоелектронна боротьба,Середній,20
2025-08-22,Гамма,Повітряна загроза,Критичний,7
2025-08-19,Омега,Втрата постачання,Середній,17
2025-08-07,Альфа,Втрата постачання,Середній,23
2025-08-09,Гамма,Радіоелектронна боротьба,Низький,39
2025-08-07,Бета,Наземний контакт,Критичний,37
2025-08-19,Гамма,Втрата постачання,Критичний,23
2025-08-08,Дельта,Наземний контакт,Низький,17
2025-08-07,Альфа,Наземний контакт,Середній,39
2025-08-28,Гамма,Втрата постачання,Критичний,19
2025-08-19,Гамма,Втрата постачання,Низький,32
2025-08-02,Дельта,Наземний контакт,Середній,27
2025-08-23,Бета,Втрата постачання,Критичний,10
2025-08-15,Бета,Повітряна загроза,Середній,36
